Date,Open,High,Low,Close,Volume
2010-01-04,550.75,554.25,538.75,539.5,0
2010-01-05,546.75,553.5,544.25,549.25,0
2010-01-06,560.5,560.25,544.0,545.75,0
2010-01-07,550.25,560.25,548.75,559.5,0
2010-01-08,560.0,562.0,540.75,550.25,0
2010-01-11,566.0,566.25,556.5,560.0,0
2010-01-12,534.0,563.0,518.0,563.0,0
2010-01-13,534.75,537.0,520.0,532.25,0
2010-01-14,527.0,536.5,525.25,536.0,0
2010-01-15,512.0,526.0,511.75,526.0,0
2010-01-19,505.0,517.5,501.5,511.75,0
2010-01-20,504.5,505.75,492.75,505.0,0
2010-01-21,503.5,505.0,497.5,504.25,0
2010-01-22,502.0,505.5,496.0,504.5,0
2010-01-25,501.0,507.0,500.5,502.75,0
2010-01-26,499.5,503.5,496.75,500.25,0
2010-01-27,490.5,500.0,490.25,498.0,0
2010-01-28,494.75,496.5,490.0,492.25,0
2010-01-29,487.0,495.75,485.0,494.75,0
2010-02-01,487.5,493.75,483.5,487.5,0
2010-02-02,499.0,503.0,486.0,486.0,0
2010-02-03,483.25,504.0,482.5,499.0,0
2010-02-04,488.5,493.0,480.25,485.25,0
2010-02-05,484.5,488.5,480.25,487.25,0
2010-02-08,495.5,497.75,488.0,489.75,0
2010-02-09,490.0,499.75,488.0,495.25,0
2010-02-10,505.75,513.5,489.5,492.75,0
2010-02-11,501.25,509.0,497.25,506.0,0
2010-02-12,494.5,502.0,490.75,501.0,0
2010-02-16,512.5,516.75,496.0,497.25,0
2010-02-17,502.0,512.0,500.0,511.25,0
2010-02-18,493.5,508.0,492.0,502.0,0
2010-02-19,498.25,500.25,486.5,490.75,0
2010-02-22,508.5,513.0,493.75,497.25,0
2010-02-23,498.25,508.5,498.5,506.25,0
2010-02-24,505.25,508.25,497.25,498.5,0
2010-02-25,496.75,506.0,494.5,505.0,0
2010-02-26,511.0,513.75,496.0,496.0,0
2010-03-01,499.5,515.0,495.0,515.0,0
2010-03-02,499.0,504.75,495.25,501.0,0
2010-03-03,509.5,508.5,503.25,504.5,0
2010-03-04,500.0,506.75,499.5,506.75,0
2010-03-05,493.0,499.75,495.0,498.75,0
2010-03-08,495.0,496.0,494.0,494.75,0
2010-03-09,490.25,492.5,490.25,490.25,0
2010-03-10,484.0,492.25,481.0,490.5,0
2010-03-11,482.5,482.75,481.75,482.75,0
2010-03-12,487.75,487.75,487.75,487.75,0
2010-03-15,488.25,496.5,487.25,494.75,0
2010-03-16,494.75,498.5,488.0,488.25,0
2010-03-17,502.25,504.5,493.5,494.75,0
2010-03-18,495.0,501.5,491.75,501.5,0
2010-03-19,492.0,496.5,490.5,494.75,0
2010-03-22,494.0,500.0,490.0,492.25,0
2010-03-23,485.0,495.5,484.5,493.0,0
2010-03-24,485.25,487.75,481.25,485.25,0
2010-03-25,476.75,486.0,475.5,484.5,0
2010-03-26,475.5,479.75,475.0,476.75,0
2010-03-29,473.5,481.0,473.25,475.75,0
2010-03-30,479.5,481.5,473.25,474.0,0
2010-03-31,461.75,481.5,461.5,478.75,0
2010-04-01,470.0,471.75,463.25,463.25,0
2010-04-05,471.75,474.5,465.0,470.25,0
2010-04-06,481.5,488.5,468.25,472.0,0
2010-04-07,492.0,492.25,475.0,481.0,0
2010-04-08,485.5,491.0,484.0,490.0,0
2010-04-09,483.5,495.0,480.25,485.0,0
2010-04-12,484.25,491.25,483.25,486.25,0
2010-04-13,492.75,493.0,480.75,483.75,0
2010-04-14,490.5,499.25,487.0,491.0,0
2010-04-15,496.5,498.25,489.0,490.25,0
2010-04-16,506.5,505.75,492.5,495.0,0
