Date,Open,High,Low,Close,Volume
2010-01-04,115.09375,115.65625,114.6875,115.0,171137
2010-01-05,116.03125,116.15625,115.125,115.25,204871
2010-01-06,115.3125,115.875,114.90625,115.84375,262691
2010-01-07,115.28125,115.71875,114.8125,115.0625,244454
2010-01-08,115.46875,115.78125,114.75,115.1875,244454
2010-01-11,115.1875,115.59375,114.875,115.125,244454
2010-01-12,116.8125,116.9375,115.25,115.25,244454
2010-01-13,115.9375,117.0625,115.75,116.875,234650
2010-01-14,116.78125,117.09375,115.75,115.84375,256463
2010-01-15,117.375,117.75,116.6875,116.71875,225112
2010-01-19,117.15625,117.84375,116.75,117.40625,207008
2010-01-20,117.96875,118.125,117.25,117.28125,218212
2010-01-21,118.625,118.84375,117.71875,117.96875,284956
2010-01-22,118.84375,119.09375,118.40625,118.78125,283179
2010-01-25,118.3125,118.71875,118.0625,118.59375,178319
2010-01-26,118.28125,119.1875,118.1875,118.375,210760
2010-01-27,118.34375,119.125,118.1875,118.3125,273479
2010-01-28,118.15625,118.46875,117.625,118.25,275420
2010-01-29,118.8125,119.21875,117.71875,118.375,317191
2010-02-01,118.15625,119.125,118.0,119.125,223137
2010-02-02,118.40625,118.4375,117.90625,118.1875,155623
2010-02-03,117.375,118.34375,117.25,118.3125,264438
2010-02-04,118.78125,119.0625,117.25,117.34375,405062
2010-02-05,119.5,119.5625,118.34375,118.6875,386538
2010-02-08,118.9375,119.34375,118.78125,119.21875,171818
2010-02-09,118.3125,119.34375,118.15625,119.28125,323903
2010-02-10,117.5625,118.65625,117.34375,118.21875,299829
2010-02-11,117.25,117.84375,116.71875,117.5625,324563
2010-02-12,117.5625,117.875,117.25,117.34375,249610
2010-02-16,117.8125,118.03125,117.0,117.46875,226768
2010-02-17,116.8125,117.875,116.53125,117.84375,275046
2010-02-18,116.1875,117.25,115.90625,116.90625,356604
2010-02-19,116.78125,116.875,116.1875,116.28125,303327
2010-02-22,116.375,116.8125,116.21875,116.78125,269938
2010-02-23,117.875,118.0,116.3125,116.40625,626225
2010-02-24,117.71875,118.28125,117.53125,117.84375,633558
2010-02-25,118.40625,118.59375,117.65625,117.75,398514
2010-02-26,119.1875,119.28125,118.28125,118.46875,124406
2010-03-01,118.96875,119.1875,118.625,118.84375,24414
2010-03-02,118.84375,118.96875,118.375,118.96875,54543
2010-03-03,118.78125,118.9375,118.28125,118.875,17672
2010-03-04,119.3125,119.5625,118.59375,118.71875,22267
2010-03-05,118.1875,119.375,118.0,119.3125,15981
2010-03-08,117.90625,118.1875,117.75,118.1875,2892
2010-03-09,117.96875,118.34375,117.71875,117.96875,16918
2010-03-10,117.84375,118.0,117.40625,117.9375,6843
2010-03-11,118.125,118.28125,117.46875,117.96875,7141
2010-03-12,118.46875,118.59375,117.375,117.90625,8860
2010-03-15,118.4375,118.625,118.0625,118.5,5743
2010-03-16,119.1875,119.3125,118.40625,118.5,2998
2010-03-17,119.4375,119.625,119.125,119.21875,2877
2010-03-18,119.25,119.875,119.125,119.5625,2327
2010-03-19,119.4375,119.75,118.9375,119.21875,3286
2010-03-22,119.4375,119.625,119.1875,119.1875,158945
2010-03-23,117.71875,118.15625,117.5625,117.9375,201031
