Date,Open,High,Low,Close,Volume
2010-01-04,279.0,280.25,275.25,276.25,959
2010-01-05,274.0,278.0,271.0,278.0,1408
2010-01-06,277.0,278.0,271.5,273.75,676
2010-01-07,274.0,277.0,272.0,277.0,450
2010-01-08,275.0,276.5,271.5,273.0,450
2010-01-11,268.0,279.75,266.25,276.0,450
2010-01-12,252.5,268.0,251.75,268.0,450
2010-01-13,250.5,255.5,245.25,252.75,2736
2010-01-14,246.0,255.25,245.75,255.25,909
2010-01-15,231.0,248.0,228.5,247.5,1848
2010-01-19,226.0,237.25,221.0,231.5,2333
2010-01-20,220.0,226.75,218.0,225.5,1356
2010-01-21,223.0,226.0,220.25,221.25,1992
2010-01-22,233.0,236.0,222.75,223.0,1225
2010-01-25,233.25,237.0,227.75,236.0,858
2010-01-26,231.75,234.5,228.25,233.5,484
2010-01-27,228.75,233.0,227.0,233.0,459
2010-01-28,233.0,233.0,226.0,229.25,1386
2010-01-29,228.0,234.5,228.25,234.5,1339
2010-02-01,228.0,231.0,223.75,225.0,1550
2010-02-02,232.0,232.0,226.5,227.0,648
2010-02-03,231.0,232.25,228.5,232.0,350
2010-02-04,228.75,231.75,227.5,231.25,307
2010-02-05,226.25,231.75,225.0,228.75,777
2010-02-08,231.0,233.0,225.25,226.0,702
2010-02-09,230.0,234.25,228.25,230.0,2115
2010-02-10,232.25,234.0,226.5,230.0,865
2010-02-11,232.25,235.25,231.5,232.5,498
2010-02-12,232.75,237.0,228.25,234.5,666
2010-02-16,236.0,237.75,229.75,232.5,649
2010-02-17,238.0,237.25,233.75,237.0,1018
2010-02-18,235.0,237.25,232.25,236.75,562
2010-02-19,230.0,233.5,227.5,233.5,900
2010-02-22,228.0,232.25,227.0,228.75,1647
2010-02-23,226.5,230.0,224.5,228.75,295
2010-02-24,222.0,225.75,220.0,225.0,618
2010-02-25,219.75,223.5,216.0,223.25,983
2010-02-26,221.0,224.75,217.5,219.75,140
2010-03-01,220.5,224.25,216.0,221.75,174
2010-03-02,221.5,221.5,219.75,221.0,42
2010-03-03,221.75,223.5,221.0,223.5,9
2010-03-04,219.0,221.5,219.5,221.5,24
2010-03-05,219.0,220.0,220.0,220.0,46
2010-03-08,220.5,222.5,222.5,222.5,1
2010-03-09,218.0,220.5,219.5,219.5,4
2010-03-10,213.0,217.5,210.5,217.5,14
2010-03-11,211.5,213.25,213.25,213.25,2
2010-03-12,209.0,209.0,209.0,209.0,354
2010-03-15,216.0,220.0,215.5,218.75,322
2010-03-16,218.0,218.0,215.5,217.75,340
2010-03-17,225.0,225.0,218.0,219.25,1316
2010-03-18,225.5,225.5,222.25,225.0,401
2010-03-19,224.5,225.25,222.25,225.0,240
2010-03-22,218.5,225.0,218.0,222.25,386
2010-03-23,216.5,221.0,215.5,220.0,434
2010-03-24,215.0,217.25,213.0,217.25,248
2010-03-25,206.75,216.0,205.75,214.5,1747
2010-03-26,212.0,212.0,205.75,207.5,356
2010-03-29,212.0,215.0,212.0,213.25,327
2010-03-30,213.5,217.0,210.5,213.5,1636
2010-03-31,208.0,213.75,206.75,213.0,1604
2010-04-01,210.5,212.75,208.75,211.25,49
2010-04-05,208.0,214.0,209.0,211.5,222
2010-04-06,210.25,212.5,208.5,210.75,529
2010-04-07,217.5,217.5,209.0,211.25,1619
2010-04-08,217.5,217.5,212.0,217.5,1045
2010-04-09,215.0,220.0,212.25,214.0,590
2010-04-12,218.0,220.0,215.75,215.75,1504
2010-04-13,215.75,218.0,213.0,218.0,428
2010-04-14,215.75,218.5,213.5,216.5,502
2010-04-15,217.5,217.75,215.0,216.25,919
2010-04-16,215.25,217.0,213.0,215.25,772
2010-04-19,207.25,215.25,202.25,215.25,892
2010-04-20,209.0,209.75,197.0,205.0,710
2010-04-21,212.0,212.0,208.25,209.0,749
2010-04-22,214.5,213.75,209.0,212.0,762
2010-04-23,205.0,215.0,203.5,213.75,791
2010-04-26,204.75,208.25,203.0,205.0,396
2010-04-27,201.0,204.75,193.5,204.75,607
2010-04-28,200.0,203.25,196.75,199.0,698
2010-04-29,203.5,204.75,198.75,200.5,966
2010-04-30,205.25,204.25,201.75,201.75,191
