Date,Open,High,Low,Close,Volume
2010-01-04,1481.0,1493.0,1475.5,1475.5,158
2010-01-05,1477.0,1477.5,1477.0,1477.5,69
2010-01-06,1478.0,1478.0,1463.0,1478.0,61
2010-01-07,1471.5,1471.5,1474.5,1471.5,40
2010-01-08,1470.5,1473.0,1473.0,1473.0,40
2010-01-11,1456.0,1465.0,1465.0,1465.0,40
2010-01-12,1413.0,1425.0,1413.0,1425.0,40
2010-01-13,1369.5,1382.5,1382.0,1382.5,3
2010-01-14,1371.0,1378.0,1375.0,1375.0,932
2010-01-15,1397.5,1410.0,1395.0,1407.0,487
2010-01-19,1392.0,1413.5,1370.0,1399.5,745
2010-01-20,1349.0,1399.0,1345.5,1396.0,1565
2010-01-21,1388.0,1388.5,1340.5,1349.0,1738
2010-01-22,1417.0,1424.5,1366.5,1384.0,1023
2010-01-25,1411.0,1423.0,1405.5,1415.5,554
2010-01-26,1411.0,1419.5,1393.0,1415.0,343
2010-01-27,1400.5,1426.5,1398.0,1411.0,1171
2010-01-28,1390.0,1408.5,1376.0,1399.0,870
2010-01-29,1420.0,1428.0,1385.5,1385.5,913
2010-02-01,1415.0,1419.5,1406.5,1418.0,901
2010-02-02,1445.0,1446.0,1413.0,1414.5,882
2010-02-03,1437.5,1449.5,1428.0,1440.5,817
2010-02-04,1418.0,1465.0,1403.0,1437.0,1044
2010-02-05,1408.5,1429.0,1403.0,1414.0,495
2010-02-08,1429.5,1432.5,1402.5,1403.5,774
2010-02-09,1445.0,1448.5,1421.0,1433.5,605
2010-02-10,1432.0,1452.5,1426.5,1445.0,447
2010-02-11,1436.5,1440.5,1429.0,1433.5,1266
2010-02-12,1426.0,1450.0,1425.0,1436.5,426
2010-02-16,1416.0,1431.5,1414.0,1423.0,863
2010-02-17,1366.0,1423.5,1366.0,1417.0,2703
2010-02-18,1364.0,1367.0,1341.5,1363.0,1229
2010-02-19,1363.0,1370.5,1349.0,1370.5,1047
2010-02-22,1350.0,1389.0,1320.0,1366.0,2023
2010-02-23,1364.5,1368.5,1320.0,1346.5,2093
2010-02-24,1348.0,1364.0,1343.0,1364.0,1346
2010-02-25,1330.0,1353.0,1325.5,1345.0,1756
2010-02-26,1343.0,1344.0,1325.0,1338.0,298
2010-03-01,1355.0,1360.0,1345.5,1351.5,213
2010-03-02,1339.0,1361.0,1338.0,1352.5,204
2010-03-03,1313.5,1336.0,1312.5,1336.0,546
